t,wrist_pitch,wrist_roll,THUMB_angle,INDEX_angle,MIDDLE_angle,RING_angle,PINKY_angle
1771502368.5275252,-44.84138107299805,0.4661189317703247,17.68497657775879,0.0,0.0,0.0,0.0
1771502368.5610783,-42.95766830444336,-0.481502503156662,17.868654251098633,0.0,0.0,0.0,0.0
1771502368.6182673,-40.05085754394531,-0.3212156593799591,15.849417686462402,0.0,0.0,0.0,0.0
1771502368.64999,-28.433406829833984,2.5077366828918457,9.857529640197754,0.0,0.0,0.0,0.0
1771502368.6799953,-18.83537483215332,2.887627124786377,5.6572723388671875,0.0,0.0,0.0,0.0
1771502368.7109952,-10.701573371887207,4.7567853927612305,3.1978888511657715,0.0,2.258863925933838,0.8460364937782288,0.0
1771502368.741074,-9.007892608642578,4.885486602783203,1.815015435218811,0.0,2.894918441772461,0.9112339615821838,0.0
1771502368.77308,-9.884212493896484,5.272881031036377,1.07607102394104,0.0,4.260200500488281,1.423966646194458,0.0
1771502368.8050797,-9.942123413085938,6.785313606262207,0.6607523560523987,2.162476062774658,9.13133430480957,4.030837535858154,0.0
1771502368.8361385,-10.964838981628418,7.1310014724731445,0.4204932451248169,5.526762962341309,13.355069160461426,7.259669303894043,0.0
1771502368.8636718,-10.681618690490723,7.633142471313477,0.27419158816337585,8.667545318603516,17.6440486907959,10.830492973327637,0.0
1771502368.8972933,-11.213797569274902,8.29442024230957,0.1865244358778,9.856035232543945,19.168277740478516,12.118106842041016,0.0
1771502368.9262733,-11.606914520263672,9.053436279296875,0.1305319368839264,10.293505668640137,19.133642196655273,12.103190422058105,0.0
1771502368.963815,-12.013555526733398,9.611403465270996,0.09367511421442032,10.074305534362793,18.909820556640625,11.731693267822266,0.0
1771502368.992778,-11.287786483764648,10.469890594482422,0.06818762421607971,11.257867813110352,19.936790466308594,12.59400749206543,0.0
1771502369.0407825,-9.943023681640625,11.14551830291748,0.045668087899684906,12.399032592773438,21.475481033325195,13.907272338867188,0.0
1771502369.0713675,-8.372377395629883,11.84663200378418,0.034997083246707916,13.29893684387207,22.488544464111328,15.035139083862305,0.0
1771502369.100907,-7.657802581787109,12.678274154663086,0.027178529649972916,14.09046745300293,23.073524475097656,15.692363739013672,0.0
1771502369.1311185,-6.630622863769531,12.828146934509277,0.021348534151911736,14.766471862792969,24.08401107788086,17.13128089904785,0.0
