t,wrist_pitch,wrist_roll,THUMB_angle,INDEX_angle,MIDDLE_angle,RING_angle,PINKY_angle
1771502073.8404055,-15.05164623260498,7.674160480499268,0.0,3.340851306915283,15.5595703125,12.461973190307617,0.0
1771502073.9016562,-13.536375045776367,8.65546989440918,0.0,6.013602256774902,17.44562530517578,14.175918579101562,0.512285590171814
1771502073.9336627,-12.277889251708984,9.321209907531738,0.0,8.059184074401855,18.96483612060547,15.398704528808594,1.1338722705841064
1771502073.9623013,-11.00107192993164,9.989221572875977,0.0,9.766592025756836,20.573497772216797,16.669599533081055,1.685319423675537
1771502073.9932988,-9.801421165466309,10.571878433227539,0.0,11.269502639770508,21.965303421020508,17.567617416381836,2.0265417098999023
1771502074.0233219,-8.563864707946777,11.09526252746582,0.0,12.681159019470215,23.38336753845215,18.63057518005371,2.5105113983154297
1771502074.0533407,-7.998534202575684,11.51464557647705,0.0,13.495733261108398,23.883563995361328,19.28972816467285,2.806581974029541
1771502074.0861516,-7.097346782684326,11.900347709655762,0.0,14.147809982299805,24.82263946533203,20.046022415161133,2.9575085639953613
1771502074.117152,-6.197136878967285,12.321651458740234,0.0,14.819443702697754,25.679601669311523,20.650121688842773,2.8566956520080566
1771502074.1492562,-5.28292179107666,12.72144889831543,0.0,15.623978614807129,26.695499420166016,21.484790802001953,3.1943750381469727
1771502074.1664073,-4.683417797088623,13.082576751708984,0.0,16.159196853637695,27.515892028808594,22.21164321899414,3.3860325813293457
1771502074.1959887,-4.155171871185303,13.364962577819824,0.0,16.649442672729492,28.23723030090332,22.952056884765625,3.630807876586914
1771502074.2271895,-3.4213287830352783,13.777534484863281,0.0,17.24250030517578,28.986061096191406,23.714906692504883,3.985750198364258
1771502074.2588184,-2.567840576171875,14.16690731048584,0.0,17.894405364990234,29.822612762451172,24.68621253967285,4.560649871826172
1771502074.2918658,-1.4423835277557373,14.659027099609375,0.0,18.72982406616211,30.86804962158203,25.870237350463867,5.327849864959717
1771502074.321842,-0.9290593266487122,14.872367858886719,0.0,19.21388816833496,31.4368953704834,26.453147888183594,5.7258806228637695
1771502074.3528824,-0.5114462971687317,14.96221923828125,0.0,19.640583038330078,31.88348388671875,27.1023006439209,6.1961517333984375
1771502074.3966687,0.6511002779006958,15.269022941589355,0.0,20.459232330322266,32.860313415527344,28.316238403320312,7.1298112869262695
1771502074.4286706,1.1208866834640503,15.07192611694336,0.0,20.681650161743164,33.210060119628906,28.984464645385742,7.898317813873291
