t,wrist_pitch,wrist_roll,THUMB_angle,INDEX_angle,MIDDLE_angle,RING_angle,PINKY_angle
1771501680.742428,42.186580657958984,-178.91831970214844,0.0,27.98340606689453,28.017913818359375,34.5550422668457,33.991127014160156
1771501680.7724352,40.44852066040039,173.5420379638672,0.0,34.457237243652344,35.86328125,42.57350158691406,37.84687423706055
1771501680.8034272,34.164947509765625,173.62193298339844,0.0,33.57493209838867,32.1014518737793,37.37525939941406,31.644935607910156
1771501680.8350074,28.771713256835938,176.32460021972656,0.0,25.082937240600586,23.516761779785156,29.849998474121094,26.65826988220215
1771501680.8670075,-23.469594955444336,6.158891201019287,0.0,0.0,0.0,0.0,0.0
1771501680.9060137,-9.029342651367188,10.435403823852539,0.0,0.0,4.547346115112305,0.0,0.0
1771501680.934531,3.674666166305542,20.132326126098633,0.0,15.79486083984375,24.965164184570312,22.31978416442871,7.025435447692871
1771501680.9655368,-2.100146532058716,16.653167724609375,0.0,10.067891120910645,19.94182586669922,16.996583938598633,0.0
1771501680.997499,-2.5201075077056885,18.006851196289062,0.0,15.18729019165039,25.191513061523438,22.187496185302734,2.516770839691162
1771501681.0300398,1.5919138193130493,19.43423080444336,0.0,24.25751495361328,33.18585968017578,28.778528213500977,7.293465614318848
1771501681.0610464,1.5890554189682007,17.564176559448242,0.021559705957770348,25.724166870117188,35.00248718261719,30.89894676208496,10.560325622558594
1771501681.097038,5.668387413024902,18.57806968688965,0.0,30.231670379638672,38.34741973876953,33.904972076416016,13.572826385498047
1771501681.127692,5.43945837020874,18.795856475830078,0.0,28.399784088134766,37.80915451049805,32.80678176879883,11.205695152282715
1771501681.1577904,3.551170587539673,17.896686553955078,0.0,26.896570205688477,35.8144416809082,30.06665802001953,8.285537719726562
1771501681.1902728,3.378718852996826,17.642858505249023,0.0,25.955652236938477,35.17125701904297,29.01255989074707,7.468806743621826
1771501681.2213032,2.402348518371582,16.209562301635742,0.0,24.90106773376465,34.12785720825195,28.319076538085938,7.535214900970459
1771501681.2518384,1.6253105401992798,16.37798500061035,0.0,23.551992416381836,31.584781646728516,26.818538665771484,7.976471424102783
1771501681.2858343,-0.3655742406845093,16.550569534301758,0.0,21.934024810791016,30.271814346313477,26.407485961914062,8.462459564208984
1771501681.336969,1.7174181938171387,19.864904403686523,0.0,23.11351776123047,29.909423828125,27.394269943237305,9.774303436279297
1771501681.368039,5.164857387542725,20.72924041748047,0.0,25.09489631652832,33.46723556518555,31.558094024658203,13.48065185546875
1771501681.399048,2.406125545501709,16.43210220336914,0.0,22.792377471923828,33.39766311645508,32.52986145019531,14.120748519897461
1771501681.4306808,3.648261785507202,20.745737075805664,0.0,26.40414810180664,35.70292282104492,31.523765563964844,9.96886157989502
1771501681.462669,9.410088539123535,25.410917282104492,0.0,30.595129013061523,38.308536529541016,34.96210479736328,11.537008285522461
1771501681.49565,4.447919845581055,22.765230178833008,0.0,28.141637802124023,34.253841400146484,32.363101959228516,12.418575286865234
1771501681.5271676,4.022433757781982,21.001623153686523,0.0,25.387868881225586,33.160621643066406,32.376678466796875,13.44499683380127
1771501681.5571682,1.9985785484313965,17.507017135620117,0.0,23.06446075439453,30.891847610473633,30.444643020629883,11.676219940185547
1771501681.58919,-1.914980411529541,17.727231979370117,0.0,20.605836868286133,26.21219253540039,27.19272804260254,8.60729694366455
1771501681.6218708,2.990957498550415,17.249238967895508,0.0,24.427471160888672,31.490507125854492,31.592695236206055,11.743908882141113
